STATE,SU_ID,n_obs,econ1_n,econ1_corr,econ1_slope,econ1_r2,econ2_n,econ2_corr,econ2_slope,econ2_r2
NY,0022251711,1,0,,,,0,,,
NY,0022256374,1,0,,,,0,,,
NY,0022259146,1,0,,,,0,,,
NY,0022263070,1,0,,,,0,,,
NY,0022269213,1,0,,,,0,,,
NY,0022309075,1,0,,,,0,,,
NY,0022314673,1,0,,,,0,,,
NY,0022346617,1,0,,,,0,,,
NY,0022358523,1,0,,,,0,,,
NY,0022361705,1,0,,,,0,,,
NY,0022365467,1,0,,,,0,,,
NY,0022377476,1,0,,,,0,,,
NY,0022386647,1,0,,,,0,,,
NY,0022391205,1,0,,,,0,,,
NY,0022397080,1,0,,,,0,,,
NY,0022423176,1,0,,,,0,,,
NY,0022435944,1,0,,,,0,,,
NY,0022442422,1,0,,,,0,,,
NY,0022444369,1,0,,,,0,,,
NY,0022444427,1,0,,,,0,,,
NY,0022454419,1,0,,,,0,,,
NY,0022455144,1,0,,,,0,,,
NY,0022456386,1,0,,,,0,,,
NY,0022459243,1,0,,,,0,,,
NY,0022467037,1,0,,,,0,,,
NY,0022483162,1,0,,,,0,,,
NY,0022486445,1,0,,,,0,,,
NY,0022511813,1,0,,,,0,,,
NY,0022514643,1,0,,,,0,,,
NY,0022527105,1,0,,,,0,,,
NY,0022528099,1,0,,,,0,,,
NY,0022528871,1,0,,,,0,,,
NY,0022590351,1,0,,,,0,,,
NY,0022594687,1,0,,,,0,,,
NY,0022600384,1,0,,,,0,,,
NY,0022601208,1,0,,,,0,,,
NY,0022612726,1,0,,,,0,,,
NY,0022625780,1,0,,,,0,,,
NY,0022661050,1,0,,,,0,,,
NY,0022665519,1,0,,,,0,,,
NY,0022665680,1,0,,,,0,,,
NY,0022677578,1,0,,,,0,,,
NY,0022690874,1,0,,,,0,,,
NY,0022697342,1,0,,,,0,,,
NY,0022699097,1,0,,,,0,,,
NY,0022704691,1,0,,,,0,,,
NY,0022708444,1,0,,,,0,,,
NY,0022737592,1,0,,,,0,,,
NY,0022744838,1,0,,,,0,,,
NY,0022746359,1,0,,,,0,,,
NY,0022747504,1,0,,,,0,,,
NY,0022764646,1,0,,,,0,,,
NY,0022767314,1,0,,,,0,,,
NY,0022767807,1,0,,,,0,,,
NY,0022768331,1,0,,,,0,,,
NY,0022769800,1,0,,,,0,,,
NY,0022775210,1,0,,,,0,,,
NY,0022781196,1,0,,,,0,,,
NY,0022783840,1,0,,,,0,,,
NY,0022787362,1,0,,,,0,,,
NY,0022790519,1,0,,,,0,,,
NY,0022797306,1,0,,,,0,,,
NY,0022801056,1,0,,,,0,,,
NY,0022807054,1,0,,,,0,,,
NY,0022817815,1,0,,,,0,,,
NY,0022839609,1,0,,,,0,,,
NY,0022854467,1,0,,,,0,,,
NY,0022856822,1,0,,,,0,,,
NY,0022862935,1,0,,,,0,,,
NY,0022863835,1,0,,,,0,,,
NY,0022869343,1,0,,,,0,,,
NY,0022873103,1,0,,,,0,,,
NY,0022885978,1,0,,,,0,,,
NY,0022907059,1,0,,,,0,,,
NY,0022911329,1,0,,,,0,,,
NY,0022916091,1,0,,,,0,,,
NY,0022943519,1,0,,,,0,,,
NY,0022944225,1,0,,,,0,,,
NY,0022945663,1,0,,,,0,,,
NY,0022949804,1,0,,,,0,,,
NY,0022962876,1,0,,,,0,,,
NY,0022982421,1,0,,,,0,,,
NY,0022997531,1,0,,,,0,,,
NY,0023010881,1,0,,,,0,,,
NY,0023026855,1,0,,,,0,,,
NY,0023036923,1,0,,,,0,,,
NY,0023039655,1,0,,,,0,,,
NY,0023045239,1,0,,,,0,,,
NY,0023049477,1,0,,,,0,,,
NY,0023062091,1,0,,,,0,,,
NY,0023065718,1,0,,,,0,,,
NY,0023067857,1,0,,,,0,,,
NY,0023093780,1,0,,,,0,,,
NY,0023106576,1,0,,,,0,,,
NY,0023108515,1,0,,,,0,,,
NY,0023110874,1,0,,,,0,,,
NY,0023112782,1,0,,,,0,,,
NY,0023112866,1,0,,,,0,,,
NY,0023114294,1,0,,,,0,,,
NY,0023136894,1,0,,,,0,,,
NY,0023139276,1,0,,,,0,,,
NY,0023150094,1,0,,,,0,,,
NY,0023153946,1,0,,,,0,,,
NY,0023154644,1,0,,,,0,,,
NY,0023155228,1,0,,,,0,,,
NY,0023156797,1,0,,,,0,,,
NY,0023165844,1,0,,,,0,,,
NY,0023166395,1,0,,,,0,,,
NY,0023172466,1,0,,,,0,,,
NY,0023175325,1,0,,,,0,,,
NY,0023175422,1,0,,,,0,,,
NY,0023182898,1,0,,,,0,,,
NY,0023208039,1,0,,,,0,,,
NY,0023228755,1,0,,,,0,,,
NY,0023237940,1,0,,,,0,,,
NY,0023247048,1,0,,,,0,,,
NY,0023255316,1,0,,,,0,,,
NY,0023265571,1,0,,,,0,,,
NY,0023268841,1,0,,,,0,,,
NY,0023277749,1,0,,,,0,,,
NY,0023311223,1,0,,,,0,,,
NY,0023318709,1,0,,,,0,,,
NY,0023323467,1,0,,,,0,,,
NY,0023325874,1,0,,,,0,,,
NY,0023329489,1,0,,,,0,,,
NY,0023349131,1,0,,,,0,,,
NY,0023361141,1,0,,,,0,,,
NY,0023361532,1,0,,,,0,,,
NY,0023365413,1,0,,,,0,,,
NY,0023400980,1,0,,,,0,,,
NY,0023443603,1,0,,,,0,,,
NY,0023453545,1,0,,,,0,,,
NY,0023474946,1,0,,,,0,,,
NY,0023482134,1,0,,,,0,,,
NY,0023501136,1,0,,,,0,,,
NY,0023516629,1,0,,,,0,,,
NY,0023525816,1,0,,,,0,,,
NY,0023526312,1,0,,,,0,,,
NY,0023538003,1,0,,,,0,,,
NY,0023557585,1,0,,,,0,,,
NY,0023566353,1,0,,,,0,,,
NY,0023568401,1,0,,,,0,,,
NY,0023580715,1,0,,,,0,,,
NY,0023581580,1,0,,,,0,,,
NY,0023593688,1,0,,,,0,,,
NY,0023604108,1,0,,,,0,,,
NY,0023610870,1,0,,,,0,,,
NY,0023614954,1,0,,,,0,,,
NY,0023616140,1,0,,,,0,,,
NY,0023619406,1,0,,,,0,,,
NY,0023619526,1,0,,,,0,,,
NY,0023654990,1,0,,,,0,,,
NY,0023655349,1,0,,,,0,,,
NY,0023668516,1,0,,,,0,,,
NY,0023676639,1,0,,,,0,,,
NY,0023681492,1,0,,,,0,,,
NY,0023687770,1,0,,,,0,,,
NY,0023689135,1,0,,,,0,,,
NY,0023692751,1,0,,,,0,,,
NY,0023704936,1,0,,,,0,,,
NY,0023723155,1,0,,,,0,,,
NY,0023739975,1,0,,,,0,,,
NY,0023750227,1,0,,,,0,,,
NY,0023755543,1,0,,,,0,,,
NY,0023761406,1,0,,,,0,,,
NY,0023766970,1,0,,,,0,,,
NY,0023771985,1,0,,,,0,,,
NY,0023791792,1,0,,,,0,,,
NY,0023807311,1,0,,,,0,,,
NY,0023807340,1,0,,,,0,,,
